id,xcoord,ycoord
1,5.864,47.175
2,5.961,47.234
3,6.071,47.273
4,6.151,47.303
5,6.284,47.338
6,6.553,47.426
7,6.723,47.471
8,6.786,47.451
9,6.784,47.389
10,6.751,47.359
11,6.762,47.326
12,6.846,47.33
13,6.934,47.339
14,7.036,47.348
15,7.145,47.359
16,7.067,47.296
17,6.946,47.282
18,6.919,47.224
19,6.827,47.155
20,6.73,47.112
21,6.643,47.053
22,6.482,47.022
23,6.349,46.945
24,6.367,46.891
25,6.353,46.859
26,6.323,46.816
27,6.29,46.779
28,6.297,46.745
29,6.256,46.735
30,6.226,46.71
