point,x,y
"1",5.864,47.175
"2",5.961,47.234
"3",6.071,47.273
"4",6.151,47.303
"5",6.284,47.338
"7",6.553,47.426
"8",6.723,47.471
"9",6.786,47.451
"10",6.784,47.389
"11",6.751,47.359
"12",6.762,47.326
"13",6.846,47.330
"14",6.934,47.339
"15",7.036,47.348
"16",7.145,47.359
"17",7.067,47.296
"18",6.946,47.282
"19",6.919,47.224
"20",6.827,47.155
"21",6.730,47.112
"22",6.643,47.053
"23",6.482,47.022
"24",6.349,46.945
"25",6.367,46.891
"26",6.353,46.859
"27",6.323,46.816
"28",6.290,46.779
"29",6.297,46.745
"30",6.256,46.735
"30",6.226,46.710
