"","interaction_id","node_from","node_to","date","direction","type","method","attr_id","value","geom","public","network_id","created_at","updated_at","attribute.id","attribute.name","attribute.description","attribute.unit","attribute.created_at","attribute.updated_at"
"1",66308,14350,14363,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.007045757,NA,TRUE,1102,"2019-02-26T23:22:55.988Z","2019-02-26T23:22:55.988Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"2",66371,14358,14358,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.058692813,NA,TRUE,1102,"2019-02-26T23:22:59.500Z","2019-02-26T23:22:59.500Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"3",66237,14344,14344,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.084021851,NA,TRUE,1102,"2019-02-26T23:22:51.780Z","2019-02-26T23:22:51.780Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"4",66238,14344,14359,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.170404827,NA,TRUE,1102,"2019-02-26T23:22:51.879Z","2019-02-26T23:22:51.879Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"5",66239,14344,14350,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.06937356,NA,TRUE,1102,"2019-02-26T23:22:51.934Z","2019-02-26T23:22:51.934Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"6",66240,14344,14351,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.001133961,NA,TRUE,1102,"2019-02-26T23:22:52.013Z","2019-02-26T23:22:52.013Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"7",66241,14344,14353,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.029886863,NA,TRUE,1102,"2019-02-26T23:22:52.062Z","2019-02-26T23:22:52.062Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"8",66242,14344,14354,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.078724855,NA,TRUE,1102,"2019-02-26T23:22:52.119Z","2019-02-26T23:22:52.119Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"9",66243,14344,14355,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.062072716,NA,TRUE,1102,"2019-02-26T23:22:52.181Z","2019-02-26T23:22:52.181Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"10",66244,14344,14356,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.003430465,NA,TRUE,1102,"2019-02-26T23:22:52.235Z","2019-02-26T23:22:52.235Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"11",66245,14344,14357,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.061435833,NA,TRUE,1102,"2019-02-26T23:22:52.291Z","2019-02-26T23:22:52.291Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"12",66246,14344,14358,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.169653151,NA,TRUE,1102,"2019-02-26T23:22:52.340Z","2019-02-26T23:22:52.340Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"13",66247,14344,14360,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,3.88343e-06,NA,TRUE,1102,"2019-02-26T23:22:52.397Z","2019-02-26T23:22:52.397Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"14",66249,14344,14362,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.008702932,NA,TRUE,1102,"2019-02-26T23:22:52.505Z","2019-02-26T23:22:52.505Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"15",66250,14344,14363,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.130864028,NA,TRUE,1102,"2019-02-26T23:22:52.565Z","2019-02-26T23:22:52.565Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"16",66251,14344,14364,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.000555003,NA,TRUE,1102,"2019-02-26T23:22:52.624Z","2019-02-26T23:22:52.624Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"17",66252,14344,14365,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.004611301,NA,TRUE,1102,"2019-02-26T23:22:52.694Z","2019-02-26T23:22:52.694Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"18",66253,14345,14358,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.008281678,NA,TRUE,1102,"2019-02-26T23:22:52.750Z","2019-02-26T23:22:52.750Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"19",66254,14345,14361,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.25345275,NA,TRUE,1102,"2019-02-26T23:22:52.813Z","2019-02-26T23:22:52.813Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"20",66255,14345,14362,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.352602211,NA,TRUE,1102,"2019-02-26T23:22:52.903Z","2019-02-26T23:22:52.903Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"21",66256,14345,14363,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.002227126,NA,TRUE,1102,"2019-02-26T23:22:52.972Z","2019-02-26T23:22:52.972Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"22",66257,14345,14364,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.007256408,NA,TRUE,1102,"2019-02-26T23:22:53.021Z","2019-02-26T23:22:53.021Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"23",66258,14345,14365,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.376179827,NA,TRUE,1102,"2019-02-26T23:22:53.069Z","2019-02-26T23:22:53.069Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"24",66259,14346,14359,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.008654072,NA,TRUE,1102,"2019-02-26T23:22:53.121Z","2019-02-26T23:22:53.121Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"25",66260,14346,14355,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.101867128,NA,TRUE,1102,"2019-02-26T23:22:53.181Z","2019-02-26T23:22:53.181Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"26",66261,14346,14358,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.007199846,NA,TRUE,1102,"2019-02-26T23:22:53.243Z","2019-02-26T23:22:53.243Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"27",66262,14346,14360,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,5.63156e-05,NA,TRUE,1102,"2019-02-26T23:22:53.296Z","2019-02-26T23:22:53.296Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"28",66263,14346,14361,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.093815373,NA,TRUE,1102,"2019-02-26T23:22:53.343Z","2019-02-26T23:22:53.343Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"29",66264,14346,14362,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.468964757,NA,TRUE,1102,"2019-02-26T23:22:53.418Z","2019-02-26T23:22:53.418Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
"30",66265,14346,14363,"1993-07-01T00:00:00.000Z","directed","predation","observation",12,0.006994663,NA,TRUE,1102,"2019-02-26T23:22:53.473Z","2019-02-26T23:22:53.473Z",12,"dietary matrix","Proportions of the consumer diets made up by the prey.",NA,"2019-02-23T17:04:25.350Z","2019-02-23T17:04:25.350Z"
