"","node_id","original_name","node_level","network_id","taxonomy_id","created_at","updated_at","taxonomy.id","taxonomy.name","taxonomy.ncbi","taxonomy.tsn","taxonomy.eol","taxonomy.bold","taxonomy.gbif","taxonomy.col","taxonomy.rank","taxonomy.created_at","taxonomy.updated_at","taxonomy"
"1",14344,"dogfish (demersal shark)","taxon",1102,4952,"2019-02-26T23:22:18.394Z","2019-02-26T23:22:18.394Z",4952,"Bodianus rufus",241269,170484,46571613,24987,NA,"1c3e1399dd9e4a3f5ca4b680dab3df74","species","2019-02-25T03:01:11.946Z","2019-06-14T15:26:18.497Z",NA
"2",14345,"rays","taxon",1102,4283,"2019-02-26T23:22:18.453Z","2019-02-26T23:22:18.453Z",4283,"Transtillaspis batoidea",117893,733360,367511,NA,NA,"33236cbc7c501ec0fd973b19159a8211","species","2019-02-23T03:03:59.819Z","2019-06-14T15:25:42.268Z",NA
"3",14346,"Jackass morwong","taxon",1102,4953,"2019-02-26T23:22:18.507Z","2019-02-26T23:22:18.507Z",4953,"Nemadactylus macropterus",76931,170262,46581352,53060,2392139,"efb4ab8f080f97431b8f007fbcbd5b11","species","2019-02-25T03:01:12.080Z","2019-06-14T15:26:18.550Z",NA
"4",14349,"ling","taxon",1102,4956,"2019-02-26T23:22:18.689Z","2019-02-26T23:22:18.689Z",4956,"Molva molva",163112,164760,46564469,78488,5214880,"3fee41097816c75ec9b5a5ef34cb99dd","species","2019-02-25T03:01:12.354Z","2019-06-14T15:26:18.601Z",NA
"5",14350,"redfish","taxon",1102,4957,"2019-02-26T23:22:18.742Z","2019-02-26T23:22:18.742Z",4957,"Sebastes",34820,166705,46568109,3990,NA,"2496765335ce4f9d08a4235314618c76","genus","2019-02-25T03:01:12.437Z","2019-06-14T15:26:18.650Z",NA
"6",14351,"flathead","taxon",1102,4958,"2019-02-26T23:22:18.806Z","2019-02-26T23:22:18.806Z",4958,"Platycephalidae",30987,167131,5130,1274,NA,"877567eef7770d6879027397ae57f16d","family","2019-02-25T03:01:12.539Z","2019-06-14T15:26:18.732Z",NA
"7",14352,"ocean perch","taxon",1102,4957,"2019-02-26T23:22:18.863Z","2019-02-26T23:22:18.863Z",4957,"Sebastes",34820,166705,46568109,3990,NA,"2496765335ce4f9d08a4235314618c76","genus","2019-02-25T03:01:12.437Z","2019-06-14T15:26:18.650Z",NA
"8",14353,"redbait","taxon",1102,4959,"2019-02-26T23:22:18.939Z","2019-02-26T23:22:18.939Z",4959,"Pyura stolonifera",7731,NA,46584753,701101,2331812,"2a1e8444a128f8d7153af303d942c720","species","2019-02-25T03:01:12.630Z","2019-06-14T15:26:18.787Z",NA
"9",14354,"jack mackerel","taxon",1102,4324,"2019-02-26T23:22:18.996Z","2019-02-26T23:22:18.996Z",4324,"Trachurus",36211,168585,46578051,3511,NA,"b8a6af6c40ac930ac0e9b1dadbca74a1","genus","2019-02-23T14:43:13.940Z","2019-06-14T15:25:44.364Z",NA
"10",14355,"cardinal fish","taxon",1102,4960,"2019-02-26T23:22:19.045Z","2019-02-26T23:22:19.045Z",4960,"Pterapogon kauderni",215349,642226,46577784,47148,2397627,"f8c68f6bd232bc53e5e14d2a45435ce7","species","2019-02-25T03:01:12.736Z","2019-06-14T15:26:18.839Z",NA
"11",14356,"cucumberfish","taxon",1102,4961,"2019-02-26T23:22:19.099Z","2019-02-26T23:22:19.099Z",4961,"Holothuroidea",7705,158140,2012,31,NA,"b7f374223074fdffaa545b97c0c80cdb","class","2019-02-25T03:01:12.854Z","2019-06-14T15:26:18.896Z",NA
"12",14357,"school whiting","taxon",1102,4962,"2019-02-26T23:22:19.150Z","2019-02-26T23:22:19.150Z",4962,"Sillago",43257,168526,46579892,3689,NA,"9881021b0a65a47056071b58f7181e06","genus","2019-02-25T03:01:12.940Z","2019-06-14T15:26:18.947Z",NA
