"","V1","V2"
"1",0,2
"2",0,4
"3",0,5
"4",0,6
"5",0,7
"6",0,8
"7",0,9
"8",0,13
"9",1,3
"10",2,4
"11",2,7
"12",3,14
"13",3,15
"14",3,16
"15",3,17
"16",3,19
"17",3,20
"18",3,21
"19",3,22
"20",3,24
"21",3,26
"22",3,27
"23",3,28
"24",4,4
"25",4,5
"26",4,7
"27",4,8
"28",4,13
"29",5,6
"30",5,7
"31",5,8
"32",5,9
"33",5,10
"34",5,11
"35",5,12
"36",5,13
"37",5,14
"38",5,15
"39",5,16
"40",5,17
"41",5,18
"42",5,26
"43",5,28
"44",6,8
"45",6,9
"46",6,10
"47",6,11
"48",6,12
"49",6,13
"50",6,14
"51",6,15
"52",6,16
"53",6,17
"54",6,18
"55",6,19
"56",6,21
"57",6,22
"58",6,23
"59",6,25
"60",6,26
"61",6,28
"62",7,14
"63",7,28
"64",8,16
"65",8,17
"66",8,18
"67",8,19
"68",8,20
"69",8,21
"70",8,22
"71",8,23
"72",8,24
"73",8,25
"74",8,26
"75",8,27
"76",8,28
"77",9,18
"78",9,19
"79",9,20
"80",9,21
"81",9,22
"82",9,23
"83",9,24
"84",9,25
"85",9,26
"86",9,27
"87",9,28
"88",10,16
"89",10,17
"90",10,18
"91",10,19
"92",10,20
"93",10,21
"94",10,23
"95",10,24
"96",10,25
"97",10,26
"98",10,27
"99",10,28
"100",11,17
"101",11,18
"102",11,19
"103",11,20
"104",11,21
"105",11,26
"106",11,27
"107",11,28
"108",12,15
"109",12,16
"110",12,17
"111",12,18
"112",12,20
"113",12,21
"114",12,25
"115",12,26
"116",12,27
"117",12,28
"118",13,17
"119",13,18
"120",13,19
"121",13,20
"122",13,21
"123",13,22
"124",13,23
"125",13,24
"126",13,25
"127",13,26
"128",13,27
"129",13,28
"130",14,17
"131",14,20
"132",14,23
"133",14,24
"134",14,25
"135",14,26
"136",14,27
"137",14,28
"138",15,18
"139",15,19
"140",15,20
"141",15,21
"142",15,22
"143",15,23
"144",15,24
"145",15,25
"146",15,26
"147",15,27
"148",15,28
"149",16,18
"150",16,20
"151",16,22
"152",16,23
"153",16,26
"154",16,27
"155",16,28
"156",17,17
"157",17,18
"158",17,19
"159",17,22
"160",17,23
"161",17,24
"162",17,26
"163",17,27
"164",17,28
"165",18,17
"166",18,18
"167",18,19
"168",18,20
"169",18,21
"170",18,22
"171",18,24
"172",18,25
"173",18,26
"174",18,27
"175",18,28
"176",19,17
"177",19,18
"178",19,19
"179",19,20
"180",19,21
"181",19,22
"182",19,23
"183",19,24
"184",19,25
"185",19,26
"186",19,27
"187",19,28
"188",20,28
"189",21,26
"190",21,27
"191",21,28
"192",22,22
"193",22,28
"194",23,28
"195",24,28
"196",25,28
"197",26,26
"198",26,27
"199",26,28
"200",27,26
"201",27,28
"202",28,27
"203",28,28
