ID	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14
OTU1			3.027835052		1			2.642375169	3.122807018	9.741293532	11.10396975		6.637288136	7.251851852
OTU100			1.009278351			2.300822562				4.870646766	7.402646503	3.054602184	2.212429379	
OTU1002	3.931726908	2.935532234	3.027835052	6.11875		2.300822562						3.054602184	2.212429379	18.12962963
OTU1004											3.701323251	15.27301092	4.424858757	10.87777778
OTU1006									3.122807018	29.2238806	11.10396975	15.27301092	28.76158192	47.13703704
OTU1007		2.935532234	7.064948454	3.059375	1	4.601645123								3.625925926
OTU10096		2.935532234		3.059375	2				6.245614035		3.701323251			
OTU10115		2.935532234				2.300822562	3.007680492						2.212429379	
OTU1012		5.871064468			1	2.300822562		2.642375169		14.6119403	3.701323251			
OTU1014			7.064948454	3.059375	2	4.601645123		7.927125506	3.122807018					3.625925926
OTU1016			4.037113402		3	2.300822562	9.023041475		9.368421053					3.625925926
OTU10162			1.009278351	3.059375	2				3.122807018					
OTU10164	3.931726908	2.935532234	1.009278351		1									
OTU1018			5.046391753	3.059375	5	11.50411281	3.007680492					3.054602184	4.424858757	3.625925926
OTU10183	3.931726908		1.009278351		1			2.642375169			3.701323251		8.849717514	7.251851852
OTU102				3.059375		2.300822562	3.007680492	2.642375169					4.424858757	3.625925926
OTU10212			3.027835052	3.059375					6.245614035		3.701323251		2.212429379	7.251851852
OTU10221			1.009278351	3.059375		2.300822562	6.015360983							
OTU10260			2.018556701	6.11875	3			5.284750337	6.245614035					
OTU10270		2.935532234	1.009278351	9.178125				2.642375169						
OTU1028										14.6119403	3.701323251		11.06214689	14.5037037
OTU10285	3.931726908				2	4.601645123		2.642375169					2.212429379	
OTU10288		2.935532234						2.642375169	3.122807018				6.637288136	
OTU10292	3.931726908	2.935532234								4.870646766		6.109204368		
OTU10294		2.935532234	2.018556701		4	2.300822562								
OTU10295			2.018556701		2		3.007680492	5.284750337	3.122807018					
OTU1031			1.009278351	9.178125	4				9.368421053	4.870646766	11.10396975	3.054602184	2.212429379	7.251851852
OTU1035		2.935532234			3	4.601645123		2.642375169		58.44776119	44.41587902	18.3276131	22.12429379	25.38148148
OTU10356		2.935532234	1.009278351							4.870646766			4.424858757	
OTU10360					1	2.300822562		2.642375169				3.054602184		
OTU10382			1.009278351	3.059375		6.902467685			3.122807018					
OTU1040			1.009278351	3.059375	2				6.245614035					7.251851852
OTU1049								13.21187584	15.61403509	24.35323383	3.701323251		2.212429379	10.87777778
OTU10513			1.009278351	3.059375	4			5.284750337				3.054602184		
OTU10570											7.402646503	6.109204368	4.424858757	3.625925926
OTU10582	3.931726908	2.935532234			2	2.300822562		7.927125506				12.21840874		3.625925926
OTU106			2.018556701							4.870646766			6.637288136	3.625925926
OTU1060		5.871064468		6.11875	1			2.642375169		14.6119403	3.701323251	6.109204368	2.212429379	10.87777778
OTU1061		2.935532234			3	2.300822562	3.007680492							
OTU10612						2.300822562				4.870646766		6.109204368	2.212429379	3.625925926
OTU10634								2.642375169		9.741293532	3.701323251	3.054602184	2.212429379	3.625925926
OTU1065			2.018556701		1						3.701323251	15.27301092		7.251851852
OTU1068		2.935532234	5.046391753		4	2.300822562	3.007680492		3.122807018			9.163806552		
OTU10685										4.870646766	7.402646503	3.054602184		3.625925926
OTU107		2.935532234	2.018556701		2				3.122807018			3.054602184	2.212429379	
OTU1071									9.368421053	9.741293532	3.701323251			3.625925926
OTU1072	11.79518072		3.027835052	3.059375	3	2.300822562			3.122807018	9.741293532	14.80529301	3.054602184	6.637288136	10.87777778
OTU1073			4.037113402			6.902467685	3.007680492	2.642375169		9.741293532		3.054602184		7.251851852
OTU10749	3.931726908			3.059375	2			2.642375169						
OTU1076		2.935532234			2	4.601645123	3.007680492						4.424858757	7.251851852
OTU10761		5.871064468	3.027835052	6.11875	1									
OTU10775		2.935532234				2.300822562		2.642375169	6.245614035			3.054602184	2.212429379	
OTU1080							3.007680492	2.642375169				3.054602184	2.212429379	3.625925926
OTU1083						4.601645123		7.927125506		4.870646766			4.424858757	3.625925926
OTU1085		2.935532234			1	2.300822562			3.122807018			3.054602184		3.625925926
OTU10858	3.931726908	2.935532234	1.009278351		1								2.212429379	
OTU1086					5			2.642375169				3.054602184		3.625925926
OTU1087			1.009278351	3.059375						4.870646766			2.212429379	
OTU1088	3.931726908				1			2.642375169	3.122807018		3.701323251			7.251851852
OTU1089	3.931726908	2.935532234	7.064948454		6	2.300822562	3.007680492	2.642375169	15.61403509			9.163806552		3.625925926
OTU1090			4.037113402	6.11875	6				3.122807018			3.054602184		3.625925926
OTU1091					2			2.642375169				3.054602184	2.212429379	7.251851852
OTU10910			1.009278351					5.284750337				3.054602184	2.212429379	
OTU10925	7.863453815				1			2.642375169				3.054602184	4.424858757	
OTU1094			1.009278351							24.35323383	25.90926276	12.21840874	11.06214689	14.5037037
OTU10965			1.009278351					2.642375169			3.701323251	3.054602184	2.212429379	
OTU10972										9.741293532		3.054602184	2.212429379	3.625925926
