ID	Warming1	Warming2	Warming3	Warming4	Warming5	Warming6	Warming7	Warming8	Warming9	Warming10	Warming11	Warming12	Warming13	Warming14
OTU1						3.030959752			3.054602184	17.7309185	6.694017094	5.162821358	4.956962025	3.831702544
OTU100			4.183760684		2.008205128			5.291891892		5.065976714	3.347008547	14.19775873		
OTU1002	3.37295435	2.472222222			2.008205128					5.065976714		1.290705339		
OTU1004											3.347008547	6.453526697	9.913924051	3.831702544
OTU1006		2.472222222			2.008205128					2.532988357	30.12307692	6.453526697	4.956962025	7.663405088
OTU1007	5.059431525			3.358490566	4.016410256	12.12383901	1.760791367	2.645945946						
OTU10096	5.059431525						3.521582734	2.645945946	3.054602184	2.532988357		2.581410679		
OTU1010				3.358490566					3.054602184	12.66494179			4.956962025	
OTU1012	1.686477175	2.472222222		3.358490566	2.008205128		3.521582734	7.937837838		2.532988357	13.38803419	6.453526697		
OTU1014	3.37295435	2.472222222			6.024615385		1.760791367	7.937837838					4.956962025	
OTU1016		2.472222222			2.008205128		1.760791367					2.581410679		
OTU1018	1.686477175	7.416666667	4.183760684	6.716981132	12.04923077		1.760791367		3.054602184			2.581410679		7.663405088
OTU102		4.944444444	12.55128205	3.358490566	4.016410256		1.760791367							
OTU10270	1.686477175	2.472222222	4.183760684				1.760791367	2.645945946	3.054602184					
OTU1028										7.598965071	10.04102564	3.872116018		15.32681018
OTU10288	1.686477175	2.472222222		6.716981132	4.016410256		1.760791367	2.645945946						
OTU1031	1.686477175	7.416666667						2.645945946	9.163806552	2.532988357	3.347008547	7.744232037	4.956962025	3.831702544
OTU1033	3.37295435		4.183760684			3.030959752				5.065976714	6.694017094	1.290705339		3.831702544
OTU1035	1.686477175				2.008205128		1.760791367	2.645945946		48.12677878	33.47008547	6.453526697	34.69873418	
OTU10382		7.416666667				3.030959752	1.760791367	2.645945946	9.163806552					
OTU1041	1.686477175			3.358490566	2.008205128		1.760791367							
OTU1049						39.40247678			3.054602184			25.81410679	4.956962025	
OTU10490				3.358490566	2.008205128	6.061919505						2.581410679		
OTU10582							7.043165468	2.645945946	3.054602184		3.347008547			15.32681018
OTU1060	6.745908699				2.008205128				3.054602184	7.598965071	10.04102564	1.290705339		3.831702544
OTU10612		2.472222222								2.532988357	3.347008547		4.956962025	
OTU1065			4.183760684						3.054602184	2.532988357	3.347008547	1.290705339		
OTU1068	1.686477175		8.367521368		4.016410256			5.291891892		5.065976714	3.347008547	3.872116018		
OTU107	1.686477175	2.472222222	4.183760684		2.008205128	3.030959752	1.760791367				3.347008547			
OTU1071	1.686477175						1.760791367				30.12307692			3.831702544
OTU1072	1.686477175	4.944444444	4.183760684		4.016410256	6.061919505	1.760791367		3.054602184	5.065976714	6.694017094	6.453526697	24.78481013	11.49510763
OTU10749	1.686477175			3.358490566				2.645945946				3.872116018		
OTU1075	1.686477175	2.472222222					3.521582734	2.645945946						
OTU1076		2.472222222			2.008205128			5.291891892		10.13195343	3.347008547	1.290705339		7.663405088
OTU10775	1.686477175			3.358490566	2.008205128	3.030959752						1.290705339		
OTU1083	3.37295435	4.944444444			2.008205128		5.282374101	7.937837838				1.290705339		
OTU1085		12.36111111					1.760791367					1.290705339	4.956962025	
OTU1087		2.472222222								5.065976714	3.347008547		4.956962025	
OTU1088	3.37295435	2.472222222			4.016410256				6.109204368			1.290705339	14.87088608	3.831702544
OTU1089	3.37295435	2.472222222			8.032820513	6.061919505		2.645945946	6.109204368			1.290705339		
OTU1090		2.472222222		3.358490566				7.937837838	9.163806552	5.065976714				3.831702544
OTU10925		2.472222222		3.358490566	2.008205128			5.291891892				1.290705339		
OTU1094							1.760791367		3.054602184	15.19793014	10.04102564	2.581410679	34.69873418	3.831702544
OTU10957								2.645945946	3.054602184	7.598965071	3.347008547			
OTU110										2.532988357	3.347008547	2.581410679	4.956962025	
OTU1102								2.645945946		15.19793014		2.581410679		19.15851272
OTU11032							1.760791367				3.347008547	3.872116018		26.82191781
OTU111	1.686477175	17.30555556	4.183760684	3.358490566	4.016410256	9.092879257	1.760791367	13.22972973	24.43681747	10.13195343	3.347008547	14.19775873		7.663405088
OTU1111							1.760791367			10.13195343		1.290705339	9.913924051	
OTU11125		2.472222222			2.008205128	3.030959752			3.054602184					
OTU11130		2.472222222	4.183760684	3.358490566	2.008205128		1.760791367							3.831702544
OTU1121	1.686477175	2.472222222		3.358490566	2.008205128	3.030959752						2.581410679		
OTU1124							7.043165468	2.645945946		2.532988357			9.913924051	3.831702544
OTU1126	3.37295435			3.358490566	2.008205128		1.760791367							
OTU1130	1.686477175								3.054602184	5.065976714			4.956962025	
OTU1136				3.358490566			3.521582734		12.21840874	7.598965071	6.694017094	3.872116018		
OTU11387				3.358490566	4.016410256		1.760791367			2.532988357				
OTU114		4.944444444	8.367521368	13.43396226	16.06564103		1.760791367			2.532988357	3.347008547	9.034937376	4.956962025	
OTU11406		2.472222222			4.016410256	3.030959752	7.043165468		9.163806552					
OTU1141		4.944444444					1.760791367		3.054602184	7.598965071				7.663405088
OTU1144	18.55124892	14.83333333	4.183760684	13.43396226	14.0574359	12.12383901	8.803956835	10.58378378	6.109204368		6.694017094	5.162821358		3.831702544
